id,split,name,top,flow,tool,status,runtime_s,cells,area,wns_ns,tns_ns,arrival_ns,netlist,report_dir
LSV01,public,epfl_priority,top,yosys_p3,yosys,ok,2.67,332,421.344000,-5.37,-9.30,5.370000,references/points_train/LSV01__yosys_p3.tar.gz::LSV01__yosys_p3/netlist.v,references/points_train/LSV01__yosys_p3.tar.gz::LSV01__yosys_p3
LSV01,public,epfl_priority,top,yosys_p1,yosys,ok,2.72,343,469.756000,-6.60,-11.67,6.600000,references/points_train/LSV01__yosys_p1.tar.gz::LSV01__yosys_p1/netlist.v,references/points_train/LSV01__yosys_p1.tar.gz::LSV01__yosys_p1
LSV01,public,epfl_priority,top,yosys_p4,yosys,ok,2.71,340,462.840000,-6.41,-11.58,6.410000,references/points_train/LSV01__yosys_p4.tar.gz::LSV01__yosys_p4/netlist.v,references/points_train/LSV01__yosys_p4.tar.gz::LSV01__yosys_p4
LSV01,public,epfl_priority,top,yosys_p5,yosys,ok,2.77,502,508.858000,-1.51,-5.48,1.510000,references/points_train/LSV01__yosys_p5.tar.gz::LSV01__yosys_p5/netlist.v,references/points_train/LSV01__yosys_p5.tar.gz::LSV01__yosys_p5
LSV01,public,epfl_priority,top,yosys_p2,yosys,ok,2.79,517,513.114000,-1.92,-6.23,1.920000,references/points_train/LSV01__yosys_p2.tar.gz::LSV01__yosys_p2/netlist.v,references/points_train/LSV01__yosys_p2.tar.gz::LSV01__yosys_p2
LSV02,public,epfl_cavlc,top,yosys_p4,yosys,ok,1.91,371,392.616000,-0.42,-3.83,0.420000,references/points_train/LSV02__yosys_p4.tar.gz::LSV02__yosys_p4/netlist.v,references/points_train/LSV02__yosys_p4.tar.gz::LSV02__yosys_p4
LSV02,public,epfl_cavlc,top,yosys_p5,yosys,ok,1.94,383,413.098000,-0.43,-3.82,0.430000,references/points_train/LSV02__yosys_p5.tar.gz::LSV02__yosys_p5/netlist.v,references/points_train/LSV02__yosys_p5.tar.gz::LSV02__yosys_p5
LSV03,public,epfl_adder,top,yosys_p1,yosys,ok,2.97,637,779.380000,-4.89,-316.98,4.890000,references/points_train/LSV03__yosys_p1.tar.gz::LSV03__yosys_p1/netlist.v,references/points_train/LSV03__yosys_p1.tar.gz::LSV03__yosys_p1
LSV04,public,itc99_b11,b11,yosys_p1,yosys,ok,2.51,1642,2200.352000,-1.44,-99.06,1.440000,references/points_train/LSV04__yosys_p1.tar.gz::LSV04__yosys_p1/netlist.v,references/points_train/LSV04__yosys_p1.tar.gz::LSV04__yosys_p1
LSV03,public,epfl_adder,top,yosys_p3,yosys,ok,2.79,637,779.114000,-4.74,-309.87,4.740000,references/points_train/LSV03__yosys_p3.tar.gz::LSV03__yosys_p3/netlist.v,references/points_train/LSV03__yosys_p3.tar.gz::LSV03__yosys_p3
LSV03,public,epfl_adder,top,yosys_p4,yosys,ok,2.90,637,779.380000,-4.89,-316.98,4.890000,references/points_train/LSV03__yosys_p4.tar.gz::LSV03__yosys_p4/netlist.v,references/points_train/LSV03__yosys_p4.tar.gz::LSV03__yosys_p4
LSV03,public,epfl_adder,top,yosys_p2,yosys,ok,2.98,806,945.896000,-2.14,-146.36,2.140000,references/points_train/LSV03__yosys_p2.tar.gz::LSV03__yosys_p2/netlist.v,references/points_train/LSV03__yosys_p2.tar.gz::LSV03__yosys_p2
LSV03,public,epfl_adder,top,yosys_p5,yosys,ok,3.03,881,1011.864000,-1.19,-91.37,1.190000,references/points_train/LSV03__yosys_p5.tar.gz::LSV03__yosys_p5/netlist.v,references/points_train/LSV03__yosys_p5.tar.gz::LSV03__yosys_p5
LSV05,public,sog_axi_downsizer,axi_dwidth_converter_v2_1_b_downsizer,yosys_p1,yosys,ok,0.64,74,127.680000,-0.55,-6.52,0.550000,references/points_train/LSV05__yosys_p1.tar.gz::LSV05__yosys_p1/netlist.v,references/points_train/LSV05__yosys_p1.tar.gz::LSV05__yosys_p1
LSV05,public,sog_axi_downsizer,axi_dwidth_converter_v2_1_b_downsizer,yosys_p2,yosys,ok,0.56,91,144.970000,-0.51,-6.52,0.510000,references/points_train/LSV05__yosys_p2.tar.gz::LSV05__yosys_p2/netlist.v,references/points_train/LSV05__yosys_p2.tar.gz::LSV05__yosys_p2
LSV05,public,sog_axi_downsizer,axi_dwidth_converter_v2_1_b_downsizer,yosys_p3,yosys,ok,0.59,74,127.946000,-0.53,-6.27,0.530000,references/points_train/LSV05__yosys_p3.tar.gz::LSV05__yosys_p3/netlist.v,references/points_train/LSV05__yosys_p3.tar.gz::LSV05__yosys_p3
LSV05,public,sog_axi_downsizer,axi_dwidth_converter_v2_1_b_downsizer,yosys_p4,yosys,ok,0.59,76,128.744000,-0.56,-6.67,0.560000,references/points_train/LSV05__yosys_p4.tar.gz::LSV05__yosys_p4/netlist.v,references/points_train/LSV05__yosys_p4.tar.gz::LSV05__yosys_p4
